keywords,description,prop,url,destination
"rajasthan, rajasthan tourism, rajasthan india, rajasthan state, visit rajasthan, rajasthan places, rajasthan india","Banswara, also known as the &quot;City of hundred island&quot; is a famous tourist destination. Dialab Lake, Anand Sagar Lake, Paraheada Shiva Temple are just a few of the places visited by tourists.",	Banswara Tourism: Tourist places in Banswara - Rajasthan Tourism,"<a href=""http://tourism.rajasthan.gov.in/ajmer.html""><span>Ajmer</span></a>",Ajmer
"rajasthan, rajasthan tourism, rajasthan india, rajasthan state, visit rajasthan, rajasthan places, rajasthan india","Bharatpur, a bird watcher’s paradise, is known for Keoladeo Ghana National Park &amp; Band Baretha wildlife reserve. Ganga Temple, Bharatpur Museum &amp; Deeg Palace are few other preferred locations of tourists visiting Bharatpur.",Bharatpur Tourism: Places to Visit in Bharatpur - Rajasthan Tourism,"<a href=""http://tourism.rajasthan.gov.in/ajmer.html""><span>Ajmer</span></a>",Ajmer
"rajasthan, rajasthan tourism, rajasthan india, rajasthan state, visit rajasthan, rajasthan places, rajasthan india","Baran is the land of picturesque wooded hills and valleys. The city is known for its Ram- Sita temples, serene picnic spots and vibrant tribal fairs and festivals.",Baran Tourism: Places to visit in Baran - Rajasthan Tourism,"<a href=""http://tourism.rajasthan.gov.in/ajmer.html""><span>Ajmer</span></a>",Ajmer
"rajasthan, rajasthan tourism, rajasthan india, rajasthan state, visit rajasthan, rajasthan places, rajasthan india","Visit Alwar to experience centuries old palaces, forts, gardens and the Sariska Tiger Reserve. Alwar is one of the oldest Rajasthani kingdoms and also one of the most popular tourist destinations in Rajasthan India.",Alwar Tourism: Places to Visit in Alwar - Rajasthan Tourism,"<a href=""http://tourism.rajasthan.gov.in/ajmer.html""><span>Ajmer</span></a>",Ajmer
"rajasthan, rajasthan tourism, rajasthan india, rajasthan state, visit rajasthan, rajasthan places, rajasthan india","Rajasthan Tourism website is state government's official portal providing information on most of the tourist destinations in Rajasthan, India.","Welcome to Rajasthan - Official Website of Department of Tourism, Government of Rajasthan","<a href=""http://tourism.rajasthan.gov.in/ajmer.html""><span>Ajmer</span></a>",Ajmer
"rajasthan, rajasthan tourism, rajasthan india, rajasthan state, visit rajasthan, rajasthan places, rajasthan india","Bhilwara, ‘City of textiles and looms’ is a famous industrial town in Rajasthan. Menal Waterfall, Pur Udan Chatri, Kyara ke Balaji and Harni Mahadev temple are few tourist attractions of the city.",Bhilwara Tourism: Tourist Places to visit in Bhilwara - Rajasthan Tourism,"<a href=""http://tourism.rajasthan.gov.in/ajmer.html""><span>Ajmer</span></a>",Ajmer
"rajasthan, rajasthan tourism, rajasthan india, rajasthan state, visit rajasthan, rajasthan places, rajasthan india","Ajmer, surrounded by Aravalli Hills is a famous tourist destination. Ajmer Sharif Dargah and Taragarh Fort are must visit places. Visit Ajmer to see what makes it so popular for people of all faiths and religions.",Ajmer Tourism: Places to Visit in Ajmer - Rajasthan Tourism,"<a href=""http://tourism.rajasthan.gov.in/ajmer.html""><span>Ajmer</span></a>",Ajmer
"rajasthan, rajasthan tourism, rajasthan india, rajasthan state, visit rajasthan, rajasthan places, rajasthan india","Barmer, India&#39;s fifth largest district was known as Mallani in 12th century. Mallinath Cattle festival, Barmer fort, Kiradu temples, Devka-Sun temple are some major tourist attractions to visit.",Barmer Tourism: Places to visit in Barmer - Rajasthan Tourism,"<a href=""http://tourism.rajasthan.gov.in/ajmer.html""><span>Ajmer</span></a>",Ajmer
"rajasthan, rajasthan tourism, rajasthan india, rajasthan state, visit rajasthan, rajasthan places, rajasthan india","Bikaner, also know as the camel country, is famous for its Junagarh fort, Karni Mata temple and camel festival. Visit Bikaner and revel yourself in the Rajasthani culture, handicraft and leather craft.",Bikaner Tourism: Places to Visit in Bikaner - Rajasthan Tourism,"<a href=""http://tourism.rajasthan.gov.in/ajmer.html""><span>Ajmer</span></a>",Ajmer
"rajasthan, rajasthan tourism, rajasthan india, rajasthan state, visit rajasthan, rajasthan places, rajasthan india","Chittorgarh is known for its magnificent forts, temples, towers and palaces. Chittorgarh Fort, Padmini&#39;s Palace, Kirti Stambh are a few tourists attractions to visit.",Chittorghar Tourism: Places to Visit in Chittorghar - Rajasthan Tourism,"<a href=""http://tourism.rajasthan.gov.in/ajmer.html""><span>Ajmer</span></a>",Ajmer
